R_kpc,v_kms,v_err_kms,source
5.000000,240.000000,8.000000,starter_mw_total
6.000000,238.000000,7.000000,starter_mw_total
7.000000,236.000000,6.000000,starter_mw_total
8.200000,235.000000,5.000000,starter_mw_total
10.000000,232.000000,5.000000,starter_mw_total
12.000000,229.000000,5.000000,starter_mw_total
15.000000,224.000000,6.000000,starter_mw_total
18.000000,219.000000,7.000000,starter_mw_total
20.000000,216.000000,8.000000,starter_mw_total
22.000000,212.000000,9.000000,starter_mw_total
25.000000,207.000000,10.000000,starter_mw_total
30.000000,200.000000,12.000000,starter_mw_total
40.000000,185.000000,15.000000,starter_mw_total
50.000000,170.000000,18.000000,starter_mw_total
60.000000,155.000000,20.000000,starter_mw_total
80.000000,130.000000,25.000000,starter_mw_total
100.000000,110.000000,30.000000,starter_mw_total
